300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.108, 300.101, 300.017, 300.003, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 
301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.195, 301.192, 301.183, 301.145, 301.006, 300.561, 300.284, 300.131, 300.056, 300.022, 300.008, 300.003, 300.001, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 
302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.286, 302.285, 302.285, 302.282, 302.273, 302.245, 302.16, 301.927, 301.33, 300.866, 300.531, 300.307, 300.168, 300.087, 300.042, 300.02, 300.009, 300.004, 300.002, 300.001, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 
303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.38, 303.379, 303.377, 303.371, 303.354, 303.307, 303.185, 302.888, 302.195, 301.605, 301.126, 300.758, 300.488, 300.301, 300.178, 300.101, 300.055, 300.029, 300.015, 300.007, 300.003, 300.002, 300.001, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 
304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.479, 304.478, 304.478, 304.477, 304.473, 304.463, 304.437, 304.374, 304.225, 303.881, 303.12, 302.44, 301.852, 301.362, 300.969, 300.666, 300.442, 300.284, 300.176, 300.106, 300.061, 300.034, 300.019, 300.01, 300.005, 300.003, 300.001, 300.001, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 
305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.581, 305.58, 305.578, 305.572, 305.559, 305.526, 305.45, 305.278, 304.9, 304.088, 303.341, 302.669, 302.081, 301.58, 301.168, 300.84, 300.587, 300.399, 300.263, 300.168, 300.105, 300.064, 300.037, 300.022, 300.012, 300.007, 300.003, 300.002, 300.001, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 
306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.688, 306.687, 306.687, 306.686, 306.683, 306.675, 306.658, 306.62, 306.533, 306.344, 305.939, 305.089, 304.29, 303.552, 302.885, 302.295, 301.787, 301.359, 301.01, 300.732, 300.518, 300.358, 300.241, 300.158, 300.101, 300.063, 300.039, 300.023, 300.013, 300.008, 300.004, 300.002, 300.001, 300.001, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 
307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.798, 307.797, 307.795, 307.792, 307.783, 307.763, 307.719, 307.623, 307.42, 306.994, 306.114, 305.275, 304.486, 303.756, 303.092, 302.5, 301.984, 301.543, 301.176, 300.878, 300.641, 300.458, 300.32, 300.219, 300.147, 300.096, 300.062, 300.039, 300.024, 300.014, 300.008, 300.005, 300.003, 300.002, 300.001, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 
308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.913, 308.912, 308.912, 308.911, 308.909, 308.904, 308.894, 308.872, 308.823, 308.721, 308.506, 308.063, 307.159, 306.288, 305.458, 304.677, 303.952, 303.29, 302.696, 302.173, 301.721, 301.338, 301.022, 300.766, 300.563, 300.405, 300.286, 300.198, 300.135, 300.09, 300.059, 300.038, 300.024, 300.015, 300.009, 300.005, 300.003, 300.002, 300.001, 300.001, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 
310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.031, 310.03, 310.029, 310.027, 310.022, 310.01, 309.985, 309.933, 309.825, 309.601, 309.144, 308.22, 307.324, 306.461, 305.638, 304.864, 304.143, 303.482, 302.886, 302.356, 301.894, 301.498, 301.165, 300.891, 300.67, 300.495, 300.359, 300.256, 300.179, 300.123, 300.083, 300.055, 300.036, 300.023, 300.015, 300.009, 300.006, 300.003, 300.002, 300.001, 300.001, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 
